"CONTADOR","TORRE","HELICE","PE","I_GRAUS","L_m","NSPTponta","T_kNm"
1,"TORRE 36-1_D1SE",6,"A2",23,1,0,0
2,"TORRE 36-1_D1SE",6,"A2",23,2,2,5.56
3,"TORRE 36-1_D1SE",6,"A2",23,3,3,7.73
4,"TORRE 36-1_D1SE",6,"A2",23,4,6,8.68
5,"TORRE 36-1_D1SE",6,"A2",23,5,6,10.3
6,"TORRE 36-1_D1SE",6,"A2",23,6,7,10.98
7,"TORRE 36-1_D1SE",6,"A2",23,7,6,13.15
8,"TORRE 36-1_D1SE",6,"A2",23,8,7,13.83
9,"TORRE 36-1_D1SE",6,"A2",23,8.75,8,16.13
1,"TORRE 36-1_D1SE",6,"A3",23,1,0,0
2,"TORRE 36-1_D1SE",6,"A3",23,2,2,5.02
3,"TORRE 36-1_D1SE",6,"A3",23,3,3,5.56
4,"TORRE 36-1_D1SE",6,"A3",23,4,6,7.73
5,"TORRE 36-1_D1SE",6,"A3",23,5,6,9.36
6,"TORRE 36-1_D1SE",6,"A3",23,6,7,10.58
7,"TORRE 36-1_D1SE",6,"A3",23,7,6,12.07
8,"TORRE 36-1_D1SE",6,"A3",23,8,7,13.15
9,"TORRE 36-1_D1SE",6,"A3",23,8.75,8,15.86
1,"TORRE 36-1_D1SE",6,"A5",5,1,0,0
2,"TORRE 36-1_D1SE",6,"A5",5,2,2,6.37
3,"TORRE 36-1_D1SE",6,"A5",5,3,3,7.59
4,"TORRE 36-1_D1SE",6,"A5",5,4,6,8.68
5,"TORRE 36-1_D1SE",6,"A5",5,5,6,10.3
6,"TORRE 36-1_D1SE",6,"A5",5,6,7,11.93
7,"TORRE 36-1_D1SE",6,"A5",5,7,6,13.15
8,"TORRE 36-1_D1SE",6,"A5",5,8,7,13.69
9,"TORRE 36-1_D1SE",6,"A5",5,8.85,8,15.86
1,"TORRE 36-1_D1SE",6,"A6",5,1,0,0
2,"TORRE 36-1_D1SE",6,"A6",5,2,2,6.92
3,"TORRE 36-1_D1SE",6,"A6",5,3,3,10.3
4,"TORRE 36-1_D1SE",6,"A6",5,4,6,10.98
5,"TORRE 36-1_D1SE",6,"A6",5,5,6,10.71
6,"TORRE 36-1_D1SE",6,"A6",5,6,7,11.39
7,"TORRE 36-1_D1SE",6,"A6",5,7,6,13.15
8,"TORRE 36-1_D1SE",6,"A6",5,8,7,13.83
9,"TORRE 36-1_D1SE",6,"A6",5,8.75,8,15.86
1,"TORRE 36-1_D1SE",6,"B1",5,1,0,0
2,"TORRE 36-1_D1SE",6,"B1",5,2,2,5.56
3,"TORRE 36-1_D1SE",6,"B1",5,3,3,7.59
4,"TORRE 36-1_D1SE",6,"B1",5,4,6,9.08
5,"TORRE 36-1_D1SE",6,"B1",5,5,6,10.3
6,"TORRE 36-1_D1SE",6,"B1",5,6,7,10.98
7,"TORRE 36-1_D1SE",6,"B1",5,7,6,13.15
8,"TORRE 36-1_D1SE",6,"B1",5,8,7,13.69
9,"TORRE 36-1_D1SE",6,"B1",5,8.95,8,15.46
1,"TORRE 36-1_D1SE",6,"B2",23,1,0,0
2,"TORRE 36-1_D1SE",6,"B2",23,2,2,3.66
3,"TORRE 36-1_D1SE",6,"B2",23,3,3,5.29
4,"TORRE 36-1_D1SE",6,"B2",23,4,6,8.68
5,"TORRE 36-1_D1SE",6,"B2",23,5,6,9.63
6,"TORRE 36-1_D1SE",6,"B2",23,6,7,11.8
7,"TORRE 36-1_D1SE",6,"B2",23,7,6,13.29
8,"TORRE 36-1_D1SE",6,"B2",23,8,7,13.56
9,"TORRE 36-1_D1SE",6,"B2",23,8.85,8,15.59
1,"TORRE 36-1_D1SE",6,"B3",23,1,0,0
2,"TORRE 36-1_D1SE",6,"B3",23,2,2,4.61
3,"TORRE 36-1_D1SE",6,"B3",23,3,3,6.37
4,"TORRE 36-1_D1SE",6,"B3",23,4,6,8
5,"TORRE 36-1_D1SE",6,"B3",23,5,6,8.81
6,"TORRE 36-1_D1SE",6,"B3",23,6,7,10.3
7,"TORRE 36-1_D1SE",6,"B3",23,7,6,11.52
8,"TORRE 36-1_D1SE",6,"B3",23,8,7,13.15
9,"TORRE 36-1_D1SE",6,"B3",23,8.85,8,16.13
1,"TORRE 36-1_D1SE",6,"B4",5,1,0,0
2,"TORRE 36-1_D1SE",6,"B4",5,2,2,5.02
3,"TORRE 36-1_D1SE",6,"B4",5,3,3,6.64
4,"TORRE 36-1_D1SE",6,"B4",5,4,6,7.73
5,"TORRE 36-1_D1SE",6,"B4",5,5,6,9.36
6,"TORRE 36-1_D1SE",6,"B4",5,6,7,10.3
7,"TORRE 36-1_D1SE",6,"B4",5,7,6,10.98
8,"TORRE 36-1_D1SE",6,"B4",5,8,7,13.42
9,"TORRE 36-1_D1SE",6,"B4",5,8.75,8,15.86
1,"TORRE 36-1_D1SE",6,"B5",5,1,0,0
2,"TORRE 36-1_D1SE",6,"B5",5,2,2,4.61
3,"TORRE 36-1_D1SE",6,"B5",5,3,3,8
4,"TORRE 36-1_D1SE",6,"B5",5,4,6,8.27
5,"TORRE 36-1_D1SE",6,"B5",5,5,6,10.3
6,"TORRE 36-1_D1SE",6,"B5",5,6,7,10.98
7,"TORRE 36-1_D1SE",6,"B5",5,7,6,13.15
8,"TORRE 36-1_D1SE",6,"B5",5,8,7,13.56
9,"TORRE 36-1_D1SE",6,"B5",5,8.95,8,15.73
1,"TORRE 36-1_D1SE",6,"B9",20,1,0,0
2,"TORRE 36-1_D1SE",6,"B9",20,2,2,6.37
3,"TORRE 36-1_D1SE",6,"B9",20,3,3,6.92
4,"TORRE 36-1_D1SE",6,"B9",20,4,6,8.27
5,"TORRE 36-1_D1SE",6,"B9",20,5,6,10.71
6,"TORRE 36-1_D1SE",6,"B9",20,6,7,11.93
7,"TORRE 36-1_D1SE",6,"B9",20,7,6,13.15
8,"TORRE 36-1_D1SE",6,"B9",20,8,7,13.56
9,"TORRE 36-1_D1SE",6,"B9",20,8.75,8,16.13
1,"TORRE 36-1_D1SE",6,"C1",5,1,0,0
2,"TORRE 36-1_D1SE",6,"C1",5,2,2,3.93
3,"TORRE 36-1_D1SE",6,"C1",5,3,3,5.83
4,"TORRE 36-1_D1SE",6,"C1",5,4,6,8.68
5,"TORRE 36-1_D1SE",6,"C1",5,5,6,10.58
6,"TORRE 36-1_D1SE",6,"C1",5,6,7,12.07
7,"TORRE 36-1_D1SE",6,"C1",5,7,6,12.61
8,"TORRE 36-1_D1SE",6,"C1",5,8,7,14.24
9,"TORRE 36-1_D1SE",6,"C1",5,9,8,16
1,"TORRE 36-1_D1SE",6,"C2",23,1,0,0
2,"TORRE 36-1_D1SE",6,"C2",23,2,2,3.8
3,"TORRE 36-1_D1SE",6,"C2",23,3,3,4.34
4,"TORRE 36-1_D1SE",6,"C2",23,4,6,8
5,"TORRE 36-1_D1SE",6,"C2",23,5,6,10.3
6,"TORRE 36-1_D1SE",6,"C2",23,6,7,11.39
7,"TORRE 36-1_D1SE",6,"C2",23,7,6,12.61
8,"TORRE 36-1_D1SE",6,"C2",23,8,7,14.37
9,"TORRE 36-1_D1SE",6,"C2",23,9,8,16.81
1,"TORRE 36-1_D1SE",6,"C3",23,1,0,0
2,"TORRE 36-1_D1SE",6,"C3",23,2,2,3.93
3,"TORRE 36-1_D1SE",6,"C3",23,3,3,4.47
4,"TORRE 36-1_D1SE",6,"C3",23,4,6,7.59
5,"TORRE 36-1_D1SE",6,"C3",23,5,6,10.03
6,"TORRE 36-1_D1SE",6,"C3",23,6,7,11.39
7,"TORRE 36-1_D1SE",6,"C3",23,7,6,12.47
8,"TORRE 36-1_D1SE",6,"C3",23,8,7,15.32
9,"TORRE 36-1_D1SE",6,"C3",23,9,8,16.54
1,"TORRE 36-1_D1SE",6,"C4",5,1,0,0
2,"TORRE 36-1_D1SE",6,"C4",5,2,2,3.8
3,"TORRE 36-1_D1SE",6,"C4",5,3,3,4.88
4,"TORRE 36-1_D1SE",6,"C4",5,4,6,6.64
