COUNT;TOWER;SOIL;NEW_SOIL
1;TORRE 114-1_D1SM;Fine sand;5
2;TORRE 114-1_D1SM;Clayey, fine sand;4
3;TORRE 114-1_D1SM;Clayey, fine sand;4
4;TORRE 114-1_D1SM;Clayey, fine sand;4
5;TORRE 114-1_D1SM;Clayey, fine sand;4
6;TORRE 114-1_D1SM;Clayey, fine sand;4
7;TORRE 114-1_D1SM;Clayey, fine sand;4
8;TORRE 114-1_D1SM;Clayey, medium sand;4
9;TORRE 114-1_D1SM;Clayey, medium sand;4
10;TORRE 114-1_D1SM;Clayey, medium sand;4
11;TORRE 114-1_D1SM;Clayey, medium sand;4
12;TORRE 114-1_D1SM;Clayey, medium sand;4
13;TORRE 114-1_D1SM;Clayey, medium sand;4
14;TORRE 114-1_D1SM;Clayey, fine sand;4
15;TORRE 114-1_D1SM;Clayey, fine sand;4
16;TORRE 114-1_D1SM;Clayey, fine sand;4
17;TORRE 114-1_D1SM;Clayey, fine sand;4
18;TORRE 114-1_D1SM;Clayey, fine sand;4
19;TORRE 114-1_D1SM;Clayey, fine sand;4
20;TORRE 114-1_D1SM;Clayey, fine sand;4
21;TORRE 114-1_D1SM;Clayey, fine sand;4
22;TORRE 114-1_D1SM;Clayey, fine sand;4
23;TORRE 114-1_D1SM;Clayey, fine sand;4
1;TORRE 114-2_D1SE;Clayey, fine sand;4
2;TORRE 114-2_D1SE;Clayey, fine sand;4
3;TORRE 114-2_D1SE;Clayey, fine sand;4
4;TORRE 114-2_D1SE;Clayey, fine sand;4
5;TORRE 114-2_D1SE;Clayey, fine sand;4
6;TORRE 114-2_D1SE;Clayey, fine sand;4
7;TORRE 114-2_D1SE;Clayey, fine sand;4
8;TORRE 114-2_D1SE;Clayey, medium sand;4
9;TORRE 114-2_D1SE;Clayey, medium sand;4
10;TORRE 114-2_D1SE;Clayey, medium sand;4
11;TORRE 114-2_D1SE;Clayey, medium sand;4
12;TORRE 114-2_D1SE;Clayey, medium sand;4
13;TORRE 114-2_D1SE;Clayey, medium sand;4
14;TORRE 114-2_D1SE;Clayey, medium sand;4
15;TORRE 114-2_D1SE;Clayey, medium sand;4
16;TORRE 114-2_D1SE;Clayey, medium sand;4
17;TORRE 114-2_D1SE;Clayey, medium sand;4
18;TORRE 114-2_D1SE;Clayey, medium sand;4
19;TORRE 114-2_D1SE;Clayey, medium sand;4
20;TORRE 114-2_D1SE;Clayey, medium sand;4
21;TORRE 114-2_D1SE;Clayey, medium sand;4
22;TORRE 114-2_D1SE;Clayey, medium sand;4
1;TORRE 137-2_D1SE;Clayey sand;2
2;TORRE 137-2_D1SE;Clayey sand;2
3;TORRE 137-2_D1SE;Clayey sand;2
4;TORRE 137-2_D1SE;Clayey sand;2
5;TORRE 137-2_D1SE;Clayey sand;2
6;TORRE 137-2_D1SE;Clayey sand;2
7;TORRE 137-2_D1SE;Clayey sand;2
8;TORRE 137-2_D1SE;Clayey sand;2
9;TORRE 137-2_D1SE;Clayey sand;2
10;TORRE 137-2_D1SE;Clayey sand;2
11;TORRE 137-2_D1SE;Clayey sand;2
12;TORRE 137-2_D1SE;Clayey sand;2
13;TORRE 137-2_D1SE;Clayey sand;2
14;TORRE 137-2_D1SE;Clayey sand;2
15;TORRE 137-2_D1SE;Clayey sand;2
16;TORRE 137-2_D1SE;Clayey sand;2
17;TORRE 137-2_D1SE;Clayey sand;2
18;TORRE 137-2_D1SE;Clayey sand;2
19;TORRE 137-2_D1SE;Clayey sand;2
20;TORRE 137-2_D1SE;Clayey sand;2
21;TORRE 137-2_D1SE;Clayey sand;2
22;TORRE 137-2_D1SE;Clayey sand;2
1;TORRE 177-1_D1SP;Clayey, fine sand;4
2;TORRE 177-1_D1SP;Clayey, fine sand;4
3;TORRE 177-1_D1SP;Clayey, fine sand;4
4;TORRE 177-1_D1SP;Clayey, fine sand;4
5;TORRE 177-1_D1SP;Clayey, fine sand;4
6;TORRE 177-1_D1SP;Clayey, fine sand;4
7;TORRE 177-1_D1SP;Clayey, fine sand;4
8;TORRE 177-1_D1SP;Clayey, fine sand;4
9;TORRE 177-1_D1SP;Clayey, fine sand;4
10;TORRE 177-1_D1SP;Clayey, fine sand;4
11;TORRE 177-1_D1SP;Clayey, fine sand;4
12;TORRE 177-1_D1SP;Clayey, fine sand;4
13;TORRE 177-1_D1SP;Clayey, fine sand;4
14;TORRE 177-1_D1SP;Clayey, fine sand;4
15;TORRE 177-1_D1SP;Clayey, fine sand;4
16;TORRE 177-1_D1SP;Clayey, fine sand;4
17;TORRE 177-1_D1SP;Clayey, fine sand;4
18;TORRE 177-1_D1SP;Clayey, fine sand;4
19;TORRE 177-1_D1SP;Clayey, fine sand;4
1;TORRE 184-2_D1SM;Clayey, fine sand;4
2;TORRE 184-2_D1SM;Clayey, fine sand;4
3;TORRE 184-2_D1SM;Clayey, fine sand;4
4;TORRE 184-2_D1SM;Clay;1
5;TORRE 184-2_D1SM;Clay;1
6;TORRE 184-2_D1SM;Clay;1
7;TORRE 184-2_D1SM;Clay;1
8;TORRE 184-2_D1SM;Clay;1
9;TORRE 184-2_D1SM;Clay;1
10;TORRE 184-2_D1SM;Clay;1
11;TORRE 184-2_D1SM;Clay;1
12;TORRE 184-2_D1SM;Clay;1
13;TORRE 184-2_D1SM;Clay;1
14;TORRE 184-2_D1SM;Clayey, fine sand;4
15;TORRE 184-2_D1SM;Clayey, fine sand;4
16;TORRE 184-2_D1SM;Lateritic level;6
17;TORRE 184-2_D1SM;Lateritic level;6
18;TORRE 184-2_D1SM;Lateritic level;6
19;TORRE 184-2_D1SM;Lateritic level;6
1;TORRE 191-1_D1SE;Sandy clay;6
2;TORRE 191-1_D1SE;Sandy clay;6
3;TORRE 191-1_D1SE;Sandy clay;6
4;TORRE 191-1_D1SE;Sandy clay;6
5;TORRE 191-1_D1SE;Sandy clay;6
6;TORRE 191-1_D1SE;Silty clay;3
7;TORRE 191-1_D1SE;Silty clay;3
8;TORRE 191-1_D1SE;Silty clay;3
9;TORRE 191-1_D1SE;Silty clay;3
10;TORRE 191-1_D1SE;Silty clay;3
11;TORRE 191-1_D1SE;Silty clay;3
12;TORRE 191-1_D1SE;Silty clay;3
13;TORRE 191-1_D1SE;Silty clay;3
